merchant_id,shop_name,shop_type,address,taste_score,env_score,sever_score,avg_score,price,wgs84_lon,wgs84_lat,contact_phone,business_hours,status
60001450,烤饼铺子,小吃快餐,玄武区南林林业大学二食堂二楼,,,,0,,118.8162026,32.08068888,,08:30-22:00,1
60001451,鸡蛋灌饼,小吃快餐,锁金村街道南京林业大学,,,,0,,118.8125832,32.07790058,,10:30-02:00,1
60001452,嗨饭了烧椒盖码饭,小吃快餐,板仓村4号-5,,,,0,,118.813575,32.07068184,18761682607,11:00-21:30,1
60001453,辣卤牛蛙,小吃快餐,玄武区林化所小吃街,,,,0,,118.8127776,32.07861209,,10:30-21:00,1
60001454,牛掌柜盖码饭,小吃快餐,锁金村街道,,,,0,22,118.80833,32.08275489,,18:00-02:30,1
60001455,刘姐辣卤饭,小吃快餐,玄武区玄武湖街道环保科技创业中心,,,,0,,118.8185335,32.08096429,,09:00-19:00,1
60001456,蛟小五砂锅菜,小吃快餐,花园路8号,4,4,4,4,24,118.8186007,32.08069736,,11:00-22:00,1
60001457,私家小灶快餐,小吃快餐,玄武区锁金六村巷冬冬面馆西12米,3.5,3.5,3.5,3.5,,118.8137753,32.07175845,,07:30-19:30,1
60001458,牛多滋烤饼,小吃快餐,板仓街78号,3.7,3.5,3.6,3.6,19,118.8178848,32.07397957,18912987088,06:30-20:00,1
60001459,江西米粉,小吃快餐,锁金村街道南京林业大学,3.9,3.9,3.9,3.9,19,118.8126073,32.07791563,,11:00-22:00,1
60001460,山下,咖啡厅,玄武区锁金村街道玄武大道6号(近地铁3号线南京林业大学·新庄站1号出口),,,,0,,118.8070734,32.08372085,,10:30-21:30,1
60001461,前任三明治·咖啡,咖啡厅,花园路8号7幢1层168室,,,,0,,118.8184493,32.08111216,13951739656,11:00-21:00,1
60001462,瑞幸咖啡,咖啡厅,锁金村路68-8号底商,3.8,3.8,3.9,3.8,14,118.8114012,32.07339844,4000100100,10:30-22:00,1
60001463,花芝林,本帮江浙菜,玄武区花园路8号,,,,0,,118.8190306,32.08060814,,10:00-21:30,1
60001464,聚德醉仙鸭,北京菜,玄武区花园路8号7幢1层168室,,,,0,,118.8184303,32.08106212,13951739656,10:30-22:00,1
60001465,百润五塘小笼包,小吃快餐,花园路8号,,,,0,,118.8183812,32.08098801,,10:00-21:00,1
60001466,四季升大肉包,小吃快餐, 板仓街与新影巷交叉口北20米,3.6,3.6,3.6,3.6,,118.8116551,32.06884192,17326133877,10:30-20:00,1
60001467,江倪鸭血粉丝·汤包,小吃快餐,板仓街1-1号,3.7,3.7,3.7,3.6,21,118.8116281,32.06883587,17754856557,16:00-03:00,1
60001468,鸿福面,其他美食, 锁金一村5号,3.5,3.5,3.5,3.5,,118.8118522,32.07297518,15077849947,11:00-21:00,1
60001469,伊华清真牛羊肉馆,其他美食,玄武区花园路78号,,,,0,,118.8119623,32.08556908,,10:30-22:00,1
60001470,叙宴,其他美食, 板仓街78号,,,,0,,118.8131297,32.0742758,4009967822,17:00-02:00,1
60001471,衢州热卤,其他美食,板仓街,3.5,3.5,3.5,3.6,,118.8177695,32.07386733,,10:00-23:00,1
60001472,亮螺轩柳州螺蛳粉,小吃快餐,花园路8号B-103号,3.3,3.7,3.7,3.4,,118.8184654,32.0806661,13690198581,10:30-22:00,1
60001473,螺蛳粉,小吃快餐,南京林业大学一食堂,,,,0,,118.8083541,32.08226983,,11:00-21:00,1
60001474,汉家风味·市井火锅,火锅,花园路8号,,,,0,,118.8184763,32.08121924,,10:30-21:30,1
60001475,北龙门·开的来丝炒饭,小龙虾,龙蟠路173号03幢112室,,,,0,,118.8089039,32.0747402,17681253880,10:00-22:00,1
60001476,把子肉盖饭,小吃快餐,锁金村街道玄武大道6号(近地铁3号线南京林业大学·新庄站1号出口),,,,0,,118.8056917,32.08297524,,10:30-21:30,1
60001477,白大仙·紫米热饭团,小吃快餐,花园路8号7幢1层168室,,,,0,,118.8183641,32.08103199,13951739656,11:00-21:00,1
60001478,土耳其特色烤肉夹馍,小吃快餐,花园路8号,,,,0,,118.818323,32.08105191,13866868071,10:30-21:30,1
60001479,友朋小吃大排档,小吃快餐,花园路8号,,,,0,,118.8184734,32.08099818,,10:00-22:30,1
60001480,一家只做现炒的盖浇饭,小吃快餐,花园路8号7幢1层168室,,,,0,,118.8183541,32.08115399,13951739656,11:00-21:30,1
60001481,朴大叔拌饭,小吃快餐,花园路8号,,,,0,26,118.8185876,32.08071033,,14:00-02:00,1
60001482,泗洪擀面皮,小吃快餐,锁金村街道玄武大道6号(近地铁3号线南京林业大学·新庄站1号出口),,,,0,,118.8057658,32.08300538,,10:30-22:00,1
60001483,饭小伴肉拌饭,小吃快餐,锁金村街道玄武大道6号(近地铁3号线南京林业大学·新庄站1号出口),,,,0,,118.8057448,32.08302634,,11:00-22:00,1
60001484,沙县小吃,小吃快餐,玄武湖街道樱海公寓,,,,0,17,118.8136218,32.07325449,,11:00-21:00,1
60001485,香锅麻辣烫,小吃快餐,锁金村街道南京林业大学,3.5,3.5,3.5,3.5,,118.80829,32.08274382,,16:00-02:00,1
60001486,擂饭,小吃快餐, 玄武湖街道花园路8号A-102,3.9,3.9,3.9,3.9,20,118.8197511,32.08071952,13951002425,10:00-22:30,1
60001487,烤鸭拌饭,小吃快餐,锁金村街道南京林业大学,,,,0,,118.8084102,32.08274003,,07:30-19:00,1
60001488,沙县小吃,小吃快餐,华侨路街道南京大学,,,,0,17,118.8125108,32.08098311,,06:30-20:30,1
60001489,满小西 WESTMAN,小吃快餐,玄武区玄武大道6号六角广场,,,,0,17,118.8055635,32.08268795,,10:30-20:00,1
60001490,袁记煲仔饭,小吃快餐,玄武区花园路8号,3.8,3.9,3.8,3.8,23,118.818756,32.08081567,,08:00-21:00,1
60001491,金源鸭血粉丝汤,小吃快餐,玄武区君园A栋153室,3.6,3.6,3.6,3.6,18,118.8201009,32.08025907,,07:00-18:30,1
60001492,赞三煲·鲍鱼鸡煲·都现烧,小吃快餐,锁金村五村林化所美食街,3.9,3.8,3.9,3.8,24,118.8123036,32.07824514,13216371229,11:00-21:00,1
60001493,陈记麻辣香锅,川菜,林业大学,,,,0,,118.8117583,32.08076668,,11:30-21:30,1
60001494,辣味和麻辣香锅,川菜,花园路6-10号,3.6,3.6,3.6,3.6,,118.8190125,32.08051809,,07:00-20:00,1
60001495,渝溪河大排档·鲜活烤鱼·纸包鱼,川菜,玄武区花园路8号,4.7,4.6,4.7,4.7,50,118.8191198,32.08053129,,05:30-14:00,1
